site,country,year,plot,an_yield,an_CP_l,an_NDF_C,an_ADF_C,an_IVTD_C,an_IVCWD_C,an_CP_C,an_NDF_K,an_ADF_K,an_CP_K
9,France,2005,28,4.528366667,21.67666966,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,29,13.03025,16.88438441,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,30,9.4542,19.48444012,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,31,7.300875,17.40594663,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,32,9.8337,16.64603672,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,33,15.7921,17.60671594,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,34,11.371275,17.84946444,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,35,10.3769,20.05168029,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,36,5.098433333,22.15019647,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,37,6.562061538,20.99338813,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,38,8.888785714,17.90827879,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,39,9.337554545,20.21007617,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,40,6.794181818,20.16776553,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,41,11.14555833,16.08052544,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,42,10.309125,19.75,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,43,13.22311667,15.88628949,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,44,12.78230357,16.67127142,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,45,7.050675,18.40554761,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,46,5.9646,19.85340383,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,47,11.5731,18.81896434,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,48,10.50075,20.15624033,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,1,8.27931111,17.85174911,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,2,12.59966667,19.24339058,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,3,13.00556364,18.52199356,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,4,10.46105,18.87794874,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,5,14.94159524,18.35212807,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,6,8.422025,20.04241038,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2006,7,8.726801282,18.71058639,NA,NA,NA,NA,NA,NA,NA,NA
